,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Kareem Abdul-Jabbar,C,41.0,LAL,15.0,351.0,11.9,0.503,0.0,0.293,4.6,14.1,9.7,8.5,0.7,1.9,11.7,23.3,,0.0,0.3,0.3,0.038,,-2.6,-0.6,-3.2,-0.1,1989
1,Mark Acres,C,26.0,BOS,2.0,2.0,-9.1,0.0,1.0,0.0,0.0,57.6,29.0,0.0,0.0,0.0,0.0,22.4,,0.0,0.0,0.0,-0.45399999999999996,,-12.9,-5.9,-18.8,0.0,1989
2,Michael Adams,PG,26.0,DEN,2.0,75.0,17.9,0.595,0.611,0.222,6.2,16.8,11.2,17.1,1.8,0.0,16.8,24.8,,0.1,0.1,0.1,0.083,,4.1,-1.1,3.0,0.1,1989
3,Mark Aguirre,SF,29.0,DET,17.0,462.0,15.2,0.5379999999999999,0.159,0.209,6.6,12.5,9.5,10.2,0.9,0.5,9.1,21.6,,0.6,0.7,1.3,0.133,,1.3,0.2,1.5,0.4,1989
4,Steve Alford,PG,24.0,GSW,6.0,52.0,13.8,0.526,0.409,0.182,3.9,3.7,3.8,13.4,1.8,0.0,4.0,19.0,,0.1,0.0,0.1,0.09300000000000001,,1.4,-0.2,1.2,0.0,1989
5,Richard Anderson,PF,28.0,POR,3.0,35.0,6.6,0.41700000000000004,0.667,0.0,0.0,10.8,4.7,13.7,0.0,1.9,0.0,7.0,,0.0,0.0,0.0,-0.005,,-1.3,-0.5,-1.7,0.0,1989
6,Ron Anderson,SF,30.0,PHI,3.0,109.0,20.5,0.583,0.02,0.098,7.2,9.1,8.2,20.1,0.5,1.2,3.6,22.3,,0.3,0.1,0.4,0.161,,5.1,0.5,5.6,0.2,1989
7,Thurl Bailey,SF,27.0,UTA,3.0,122.0,7.2,0.44299999999999995,0.0,0.441,8.1,13.1,10.5,3.5,0.4,2.0,18.1,16.1,,-0.1,0.0,-0.1,-0.03,,-3.4,-1.4,-4.8,-0.1,1989
8,Charles Barkley,PF,25.0,PHI,3.0,135.0,24.3,0.691,0.111,0.6890000000000001,6.6,22.1,14.4,18.4,1.9,0.9,15.8,22.8,,0.4,0.2,0.6,0.213,,6.4,1.9,8.4,0.3,1989
9,John Battle,SG,26.0,ATL,5.0,118.0,12.4,0.478,0.13,0.261,5.2,9.0,7.0,25.2,0.9,0.0,8.9,21.9,,0.1,0.0,0.1,0.049,,-0.3,-1.3,-1.6,0.0,1989
10,Walter Berry,PF,24.0,HOU,4.0,57.0,15.1,0.5589999999999999,0.0,0.308,6.1,12.0,9.0,14.5,1.7,1.1,16.9,25.9,,0.0,0.1,0.1,0.066,,-0.6,0.5,-0.2,0.0,1989
11,Otis Birdsong,SG,33.0,BOS,3.0,20.0,-5.7,0.2,0.4,0.0,0.0,11.5,5.8,6.9,2.6,3.1,37.5,17.9,,-0.2,0.0,-0.1,-0.289,,-11.6,0.1,-11.5,0.0,1989
12,Manute Bol,C,26.0,GSW,8.0,148.0,5.4,0.23,0.611,0.19399999999999998,3.4,17.0,10.3,0.8,0.6,10.9,7.1,11.4,,-0.4,0.2,-0.2,-0.071,,-6.4,2.3,-4.1,-0.1,1989
13,Sam Bowie,C,27.0,POR,3.0,67.0,17.2,0.49200000000000005,0.071,0.28600000000000003,14.7,18.9,16.5,6.3,0.0,7.1,8.7,20.9,,0.1,0.0,0.1,0.052000000000000005,,0.3,-0.5,-0.2,0.0,1989
14,Adrian Branch,SF,25.0,POR,1.0,5.0,11.8,0.258,0.0,0.667,0.0,25.3,11.1,45.0,0.0,0.0,0.0,31.5,,0.0,0.0,0.0,-0.10800000000000001,,-1.2,-2.8,-3.9,0.0,1989
15,Randy Breuer,C,28.0,MIL,9.0,162.0,11.8,0.517,0.0,0.406,6.9,23.6,15.2,4.9,0.7,2.7,5.0,11.9,,0.1,0.1,0.3,0.07400000000000001,,-0.5,0.0,-0.5,0.1,1989
16,Scott Brooks,PG,23.0,PHI,3.0,21.0,6.6,0.363,0.33299999999999996,0.33299999999999996,0.0,21.0,10.6,29.3,0.0,0.0,12.7,16.6,,0.0,0.0,0.0,-0.005,,-5.0,-1.8,-6.8,0.0,1989
