,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
31,J.J. Barea,PG,32.0,DAL,35.0,771.0,17.2,0.521,0.431,0.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,,0.8,0.5,1.3,0.08,,3.0,-1.5,1.5,0.7,2017
32,Harrison Barnes,PF,24.0,DAL,79.0,2803.0,16.3,0.541,0.17300000000000001,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,,2.5,2.1,4.6,0.078,,0.4,-1.2,-0.8,0.8,2017
33,Matt Barnes,SF,36.0,TOT,74.0,1777.0,10.3,0.514,0.556,0.188,4.6,19.7,12.3,15.7,1.3,1.3,17.3,15.6,,0.3,1.7,2.0,0.053,,-1.7,0.3,-1.4,0.3,2017
36,Will Barton,SG,26.0,DEN,60.0,1705.0,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,,2.5,0.8,3.3,0.09300000000000001,,1.2,-1.0,0.2,1.0,2017
37,Brandon Bass,PF,31.0,LAC,52.0,577.0,19.7,0.65,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,,1.6,0.6,2.2,0.18600000000000003,,1.2,-0.8,0.4,0.4,2017
38,Nicolas Batum,SG,28.0,CHO,77.0,2617.0,15.8,0.529,0.415,0.29100000000000004,1.9,18.4,10.1,27.7,1.6,1.0,15.0,22.3,,1.7,2.8,4.6,0.084,,0.6,0.2,0.8,1.9,2017
39,Jerryd Bayless,PG,28.0,PHI,3.0,71.0,8.7,0.45299999999999996,0.156,0.313,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7,,-0.1,0.0,-0.1,-0.067,,-2.1,-2.4,-4.4,0.0,2017
40,Aron Baynes,C,30.0,DET,75.0,1163.0,13.1,0.57,0.0,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,,1.4,1.5,3.0,0.12300000000000001,,-3.2,0.5,-2.7,-0.2,2017
41,Kent Bazemore,SF,27.0,ATL,73.0,1963.0,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,,-0.6,2.8,2.1,0.052000000000000005,,-2.1,1.1,-1.0,0.5,2017
42,Bradley Beal,SG,23.0,WAS,77.0,2684.0,20.1,0.604,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,,6.9,1.6,8.5,0.152,,4.2,-1.0,3.3,3.5,2017
43,Malik Beasley,SG,20.0,DEN,22.0,165.0,13.7,0.536,0.384,0.13699999999999998,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,,0.1,0.1,0.2,0.057,,-0.4,-0.2,-0.6,0.1,2017
44,Michael Beasley,PF,28.0,MIL,56.0,935.0,17.8,0.584,0.106,0.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,,0.8,1.0,1.8,0.092,,0.0,-0.8,-0.8,0.3,2017
45,Marco Belinelli,SG,30.0,CHO,74.0,1778.0,13.3,0.5660000000000001,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,,2.0,1.2,3.2,0.087,,-0.6,-0.5,-1.1,0.4,2017
46,DeAndre' Bembry,SF,22.0,ATL,38.0,371.0,8.8,0.48100000000000004,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,,-0.1,0.4,0.3,0.038,,-3.6,0.1,-3.5,-0.1,2017
48,Dragan Bender,PF,19.0,PHO,43.0,574.0,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,,-0.7,0.3,-0.3,-0.028999999999999998,,-4.3,-0.7,-5.1,-0.4,2017
49,Anthony Bennett,PF,23.0,BRK,23.0,264.0,14.7,0.5329999999999999,0.522,0.391,10.2,21.0,15.6,7.1,0.9,0.9,10.0,19.4,,0.3,0.2,0.5,0.09,,0.5,-1.9,-1.4,0.0,2017
50,Ben Bentil,PF,21.0,DAL,3.0,10.0,-17.6,0.0,0.33299999999999996,0.0,0.0,24.4,11.6,0.0,0.0,0.0,25.0,18.9,,-0.1,0.0,-0.1,-0.473,,-19.7,-6.2,-25.9,-0.1,2017
51,Dāvis Bertāns,PF,24.0,SAS,67.0,808.0,12.9,0.609,0.7390000000000001,0.145,3.2,10.4,6.9,8.3,1.3,2.8,11.4,15.7,,1.1,1.2,2.3,0.135,,0.5,0.8,1.3,0.7,2017
52,Patrick Beverley,SG,28.0,HOU,67.0,2058.0,13.0,0.546,0.53,0.175,5.0,15.8,10.4,18.8,2.3,1.0,14.6,14.1,,2.9,2.4,5.3,0.12300000000000001,,-0.2,1.4,1.1,1.6,2017
53,Bismack Biyombo,C,24.0,ORL,81.0,1793.0,12.2,0.546,0.0,0.69,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2,,0.8,2.1,2.9,0.077,,-3.4,0.2,-3.2,-0.6,2017
54,Nemanja Bjelica,PF,28.0,MIN,65.0,1190.0,11.0,0.526,0.49700000000000005,0.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,,0.6,0.9,1.5,0.059000000000000004,,-1.8,0.2,-1.6,0.1,2017
55,Tarik Black,C,25.0,LAL,67.0,1091.0,15.0,0.56,0.006999999999999999,0.371,13.9,20.7,17.2,5.3,1.3,3.3,14.5,15.7,,1.5,0.8,2.4,0.105,,-2.3,-0.9,-3.2,-0.3,2017
56,Eric Bledsoe,PG,27.0,PHO,66.0,2176.0,20.5,0.563,0.3,0.44299999999999995,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,,4.0,1.4,5.3,0.11800000000000001,,3.7,-0.1,3.6,3.1,2017
57,Bojan Bogdanović,SF,27.0,TOT,81.0,2083.0,13.5,0.585,0.46399999999999997,0.28800000000000003,1.9,12.3,7.2,8.7,0.8,0.3,12.1,22.4,,2.0,0.9,2.9,0.067,,-0.1,-2.1,-2.2,-0.1,2017
60,Andrew Bogut,C,32.0,TOT,27.0,583.0,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,,-0.3,1.0,0.7,0.055,,-5.2,2.6,-2.6,-0.1,2017
63,Joel Bolomboy,PF,23.0,UTA,12.0,53.0,19.7,0.59,0.25,0.375,9.0,27.6,18.5,6.3,1.0,3.1,9.7,18.2,,0.1,0.1,0.2,0.171,,2.3,1.1,3.4,0.1,2017
64,Devin Booker,SG,20.0,PHO,78.0,2730.0,14.6,0.531,0.28300000000000003,0.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6,,1.3,0.6,2.0,0.035,,0.3,-2.3,-1.9,0.1,2017
65,Trevor Booker,PF,29.0,BRK,71.0,1754.0,15.7,0.5539999999999999,0.132,0.18600000000000003,8.7,25.5,17.2,12.9,2.0,1.2,16.6,18.7,,1.0,2.2,3.1,0.086,,-0.9,0.3,-0.6,0.6,2017
66,Avery Bradley,SG,26.0,BOS,55.0,1835.0,14.4,0.5479999999999999,0.35700000000000004,0.12,4.0,16.2,10.1,11.0,1.8,0.5,9.7,21.9,,1.1,2.0,3.1,0.081,,0.0,-0.5,-0.6,0.7,2017
67,Corey Brewer,SF,30.0,TOT,82.0,1281.0,9.1,0.491,0.33899999999999997,0.195,2.7,11.6,7.1,10.7,2.3,1.3,12.7,14.3,,0.0,1.2,1.2,0.045,,-3.5,0.8,-2.7,-0.2,2017
70,Malcolm Brogdon,SG,24.0,MIL,75.0,1982.0,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,,2.6,1.5,4.1,0.1,,0.0,-0.4,-0.4,0.8,2017
71,Aaron Brooks,PG,32.0,IND,65.0,894.0,9.5,0.507,0.42700000000000005,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,,-0.2,0.5,0.3,0.016,,-2.4,-1.2,-3.7,-0.4,2017
72,Anthony Brown,SF,24.0,TOT,11.0,159.0,7.2,0.43,0.54,0.0,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6,,-0.2,0.2,0.0,0.001,,-4.5,0.1,-4.4,-0.1,2017
75,Bobby Brown,PG,32.0,HOU,25.0,123.0,10.8,0.509,0.583,0.033,0.0,5.3,2.7,17.6,0.4,0.0,7.6,22.7,,0.1,0.0,0.1,0.04,,-0.1,-3.5,-3.6,0.0,2017
77,Jaylen Brown,SF,20.0,BOS,78.0,1341.0,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,,0.2,1.3,1.5,0.053,,-3.0,-0.8,-3.7,-0.6,2017
78,Nicolás Brussino,SG,23.0,DAL,54.0,521.0,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16.0,,0.0,0.6,0.6,0.055,,-1.7,0.1,-1.6,0.1,2017
79,Reggie Bullock,SF,25.0,DET,31.0,467.0,11.7,0.5379999999999999,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,,0.4,0.5,1.0,0.10099999999999999,,-1.0,1.3,0.3,0.3,2017
80,Trey Burke,PG,24.0,WAS,57.0,703.0,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,,0.3,0.3,0.5,0.036000000000000004,,-1.3,-1.8,-3.0,-0.2,2017
81,Alec Burks,SG,25.0,UTA,42.0,653.0,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11.0,22.7,,-0.1,0.9,0.8,0.055999999999999994,,-2.2,0.0,-2.3,0.0,2017
82,Jimmy Butler,SF,27.0,CHI,76.0,2809.0,25.1,0.586,0.198,0.54,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,,10.1,3.8,13.8,0.23600000000000002,,5.6,1.7,7.3,6.6,2017
83,Bruno Caboclo,SF,21.0,TOR,9.0,40.0,14.6,0.43799999999999994,0.375,0.0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,,0.0,0.1,0.1,0.083,,0.2,0.8,1.0,0.0,2017
84,José Calderón,PG,35.0,TOT,41.0,539.0,8.9,0.506,0.478,0.09,3.0,12.2,7.5,23.3,1.0,0.2,22.7,14.4,,0.0,0.3,0.3,0.023,,-2.6,-0.6,-3.2,-0.2,2017
87,Kentavious Caldwell-Pope,SG,23.0,DET,76.0,2529.0,12.8,0.519,0.47100000000000003,0.19899999999999998,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,,2.0,2.5,4.5,0.086,,-0.6,0.4,-0.2,1.1,2017
88,Isaiah Canaan,SG,25.0,CHI,39.0,592.0,8.1,0.483,0.5429999999999999,0.191,1.1,8.1,4.6,9.0,1.9,0.1,10.1,15.4,,0.0,0.6,0.5,0.042,,-3.6,0.4,-3.3,-0.2,2017
89,Clint Capela,C,22.0,HOU,65.0,1551.0,21.4,0.638,0.0,0.314,12.5,24.5,18.5,6.7,1.1,4.1,12.0,19.9,,3.8,2.1,5.9,0.184,,1.3,-0.1,1.2,1.2,2017
90,DeMarre Carroll,SF,30.0,TOR,72.0,1882.0,11.9,0.53,0.5820000000000001,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,,1.7,2.1,3.8,0.09699999999999999,,-0.4,0.4,0.0,1.0,2017
91,Vince Carter,SF,40.0,MEM,73.0,1799.0,11.7,0.542,0.604,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,,1.9,2.1,4.0,0.106,,-0.3,1.1,0.8,1.3,2017
92,Michael Carter-Williams,PG,25.0,CHI,45.0,846.0,9.9,0.43700000000000006,0.209,0.252,3.0,16.6,9.8,20.0,2.3,2.2,16.3,20.9,,-1.0,1.3,0.2,0.013000000000000001,,-4.5,1.3,-3.2,-0.3,2017
93,Omri Casspi,PF,28.0,TOT,36.0,643.0,10.0,0.526,0.262,0.177,4.9,15.2,10.1,8.6,1.8,0.4,14.1,14.4,,0.1,0.4,0.5,0.038,,-2.6,-0.5,-3.2,-0.2,2017
97,Willie Cauley-Stein,C,23.0,SAC,75.0,1421.0,16.3,0.5579999999999999,0.004,0.314,7.0,20.4,13.8,9.4,1.9,2.8,11.2,19.7,,1.4,1.5,2.9,0.1,,-1.2,0.2,-1.0,0.3,2017
98,Tyson Chandler,C,34.0,PHO,47.0,1298.0,16.6,0.703,0.0,0.544,12.5,33.2,22.6,3.3,1.2,1.5,18.7,11.2,,2.7,1.3,4.1,0.151,,0.7,-0.3,0.3,0.8,2017
99,Wilson Chandler,SF,29.0,DEN,71.0,2197.0,14.9,0.545,0.34700000000000003,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10.0,22.0,,2.4,1.1,3.5,0.077,,0.5,-1.5,-1.0,0.5,2017
100,Marquese Chriss,PF,19.0,PHO,82.0,1743.0,12.3,0.529,0.354,0.28600000000000003,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,,0.3,1.5,1.8,0.05,,-2.2,-0.1,-2.2,-0.1,2017
101,Rakeem Christmas,PF,25.0,IND,29.0,219.0,10.4,0.529,0.0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,,0.3,0.2,0.5,0.099,,-4.0,-1.0,-5.0,-0.2,2017
103,Semaj Christon,PG,24.0,OKC,64.0,973.0,5.7,0.387,0.28300000000000003,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,,-0.7,0.8,0.1,0.006,,-4.8,-0.3,-5.1,-0.8,2017
104,Ian Clark,SG,25.0,GSW,77.0,1137.0,13.1,0.575,0.376,0.134,2.3,9.0,5.8,11.2,1.7,0.6,10.7,19.5,,1.0,1.3,2.3,0.099,,-1.0,-0.5,-1.5,0.1,2017
105,Jordan Clarkson,SG,24.0,LAL,82.0,2397.0,13.2,0.526,0.332,0.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,,0.5,0.7,1.2,0.024,,-0.9,-1.6,-2.5,-0.3,2017
106,Norris Cole,PG,28.0,OKC,13.0,125.0,5.4,0.381,0.25,0.192,0.0,9.8,4.9,16.3,3.1,0.0,11.0,21.5,,-0.2,0.2,-0.1,-0.033,,-7.5,0.8,-6.7,-0.1,2017
107,Darren Collison,PG,29.0,SAC,68.0,2063.0,15.3,0.57,0.245,0.239,1.3,7.1,4.3,24.5,1.6,0.4,12.6,19.8,,3.1,0.8,3.9,0.091,,0.3,-1.2,-0.9,0.6,2017
108,Nick Collison,PF,36.0,OKC,20.0,128.0,12.9,0.622,0.043,0.348,7.8,19.1,13.4,13.2,0.8,1.2,13.1,10.1,,0.3,0.1,0.4,0.145,,-1.3,1.1,-0.2,0.1,2017
109,Mike Conley,PG,29.0,MEM,69.0,2292.0,23.2,0.604,0.415,0.365,1.5,10.8,6.0,34.5,2.1,0.8,11.8,26.3,,7.5,2.5,10.0,0.209,,6.0,0.8,6.8,5.1,2017
110,Pat Connaughton,SG,24.0,POR,39.0,316.0,11.8,0.645,0.45799999999999996,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13.0,,0.4,0.2,0.6,0.09,,-0.4,-0.4,-0.8,0.1,2017
111,Quinn Cook,PG,23.0,TOT,14.0,188.0,11.8,0.579,0.39399999999999996,0.076,0.6,3.6,2.0,22.8,1.1,0.0,16.0,19.6,,0.1,0.1,0.2,0.047,,-1.6,-1.5,-3.1,-0.1,2017
114,DeMarcus Cousins,C,26.0,TOT,72.0,2465.0,25.8,0.562,0.253,0.46799999999999997,7.0,29.2,18.2,25.8,2.0,3.4,13.5,36.5,,3.9,3.8,7.6,0.149,,5.0,1.8,6.8,5.5,2017
117,Robert Covington,SF,26.0,PHI,67.0,2119.0,13.2,0.534,0.563,0.23800000000000002,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,,0.0,3.2,3.1,0.071,,-1.2,1.4,0.2,1.1,2017
118,Allen Crabbe,SG,24.0,POR,79.0,2254.0,11.6,0.602,0.467,0.192,0.9,10.2,5.6,6.1,1.2,0.7,8.1,14.9,,3.1,1.0,4.2,0.08900000000000001,,-0.7,-0.6,-1.3,0.4,2017
119,Jamal Crawford,SG,36.0,LAC,82.0,2157.0,12.0,0.525,0.37,0.233,0.9,5.7,3.3,15.2,1.4,0.5,12.3,22.7,,0.5,1.4,1.9,0.043,,-0.8,-1.3,-2.1,0.0,2017
120,Jordan Crawford,SG,28.0,NOP,19.0,442.0,17.6,0.5820000000000001,0.436,0.11900000000000001,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,,0.6,0.3,0.9,0.102,,2.2,-0.9,1.3,0.4,2017
121,Jae Crowder,SF,26.0,BOS,72.0,2335.0,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17.0,,4.1,2.5,6.7,0.13699999999999998,,1.0,-0.1,0.9,1.7,2017
122,Dante Cunningham,PF,29.0,NOP,66.0,1649.0,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.2,1.2,1.4,7.0,10.7,,1.4,1.6,3.0,0.08800000000000001,,-1.9,0.3,-1.6,0.2,2017
123,Seth Curry,PG,26.0,DAL,70.0,2029.0,15.5,0.601,0.45799999999999996,0.142,1.4,9.3,5.1,16.0,2.0,0.3,11.0,19.5,,2.9,1.7,4.6,0.11,,0.8,0.4,1.2,1.7,2017
124,Stephen Curry,PG,28.0,GSW,79.0,2638.0,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13.0,30.1,,8.7,3.9,12.6,0.22899999999999998,,6.7,0.3,6.9,5.9,2017
125,Troy Daniels,SG,25.0,MEM,67.0,1183.0,10.4,0.531,0.7170000000000001,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8.0,21.7,,0.5,0.8,1.3,0.051,,0.2,-1.9,-1.8,0.0,2017
126,Anthony Davis,C,23.0,NOP,75.0,2708.0,27.5,0.58,0.08800000000000001,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,,5.9,5.1,11.0,0.195,,4.4,1.4,5.9,5.4,2017
128,Deyonta Davis,C,20.0,MEM,36.0,238.0,10.6,0.528,0.0,0.38299999999999995,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12.0,,0.1,0.4,0.5,0.09699999999999999,,-5.0,0.4,-4.6,-0.2,2017
129,Ed Davis,PF,27.0,POR,46.0,789.0,11.5,0.563,0.0,0.57,13.4,20.9,17.1,4.6,0.9,2.2,17.2,12.0,,1.0,0.7,1.7,0.10400000000000001,,-3.2,-0.8,-4.1,-0.4,2017
130,Dewayne Dedmon,C,27.0,SAS,76.0,1330.0,16.0,0.645,0.0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,,2.3,3.0,5.2,0.18899999999999997,,-1.4,2.0,0.6,0.9,2017
131,Sam Dekker,PF,22.0,HOU,77.0,1419.0,13.1,0.5489999999999999,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,,1.9,1.2,3.1,0.10400000000000001,,0.3,-0.6,-0.2,0.6,2017
132,Malcolm Delaney,PG,27.0,ATL,73.0,1248.0,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,,-1.2,1.3,0.1,0.005,,-5.3,-0.3,-5.6,-1.1,2017
133,Matthew Dellavedova,PG,26.0,MIL,76.0,1986.0,9.4,0.501,0.40299999999999997,0.18,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3,,0.3,0.9,1.2,0.028999999999999998,,-2.5,-1.8,-4.2,-1.1,2017
134,Luol Deng,SF,31.0,LAL,56.0,1486.0,10.1,0.47,0.389,0.149,4.5,17.7,10.8,7.0,1.6,1.1,8.7,14.2,,0.1,0.8,0.9,0.028999999999999998,,-1.4,-0.6,-2.1,0.0,2017
135,DeMar DeRozan,SG,27.0,TOR,74.0,2620.0,24.0,0.552,0.08,0.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3,,6.7,2.4,9.0,0.166,,4.1,-1.0,3.0,3.3,2017
136,Cheick Diallo,PF,20.0,NOP,17.0,199.0,16.8,0.51,0.0,0.276,12.1,26.7,19.4,3.2,1.0,2.9,7.6,20.5,,0.2,0.3,0.5,0.111,,-1.8,-1.9,-3.7,-0.1,2017
137,Boris Diaw,PF,34.0,UTA,73.0,1283.0,9.0,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,,-0.1,1.2,1.1,0.040999999999999995,,-2.3,-0.2,-2.5,-0.1,2017
138,Gorgui Dieng,PF,27.0,MIN,82.0,2653.0,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,,3.2,2.5,5.7,0.10300000000000001,,-0.8,0.6,-0.1,1.3,2017
139,Spencer Dinwiddie,PG,23.0,BRK,59.0,1334.0,12.7,0.581,0.33399999999999996,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,,1.9,0.9,2.8,0.10099999999999999,,-1.3,0.4,-1.0,0.4,2017
140,Toney Douglas,PG,30.0,MEM,24.0,394.0,10.6,0.451,0.359,0.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,,0.0,0.5,0.5,0.059000000000000004,,-3.2,1.8,-1.5,0.1,2017
