,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Shareef Abdur-Rahim,PF,27.0,TOT,85.0,2684.0,19.9,0.557,0.032,0.40700000000000003,8.2,19.0,13.6,12.3,1.4,1.0,12.9,24.4,,6.1,2.0,8.1,0.145,,2.3,-0.7,1.6,2.4,2004
3,Malik Allen,PF,25.0,MIA,45.0,616.0,10.5,0.449,0.0,0.16699999999999998,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,,-0.1,0.8,0.7,0.051,,-3.7,-0.1,-3.8,-0.3,2004
4,Ray Allen,SG,28.0,SEA,56.0,2152.0,21.7,0.5660000000000001,0.37200000000000005,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,,6.5,0.4,6.9,0.153,,5.5,-1.5,4.0,3.2,2004
5,Rafer Alston,PG,27.0,MIA,82.0,2581.0,13.7,0.509,0.568,0.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,,3.1,2.8,5.9,0.11,,0.2,0.7,0.9,1.9,2004
6,Chris Andersen,PF,25.0,DEN,71.0,1029.0,14.4,0.486,0.005,0.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,,0.5,1.9,2.4,0.111,,-2.0,2.8,0.7,0.7,2004
7,Derek Anderson,SG,29.0,POR,51.0,1810.0,15.1,0.499,0.423,0.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,,2.7,0.9,3.6,0.09699999999999999,,0.8,-0.5,0.3,1.0,2004
8,Kenny Anderson,PG,33.0,IND,44.0,905.0,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,,0.4,1.1,1.5,0.079,,-2.3,0.6,-1.7,0.1,2004
9,Shandon Anderson,SG,30.0,NYK,80.0,1974.0,10.1,0.5,0.22699999999999998,0.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,,0.2,1.5,1.7,0.042,,-2.4,0.1,-2.4,-0.2,2004
10,Carmelo Anthony,SF,19.0,DEN,82.0,2995.0,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,,3.7,2.4,6.1,0.098,,1.6,-1.6,0.0,1.5,2004
11,Robert Archibald,C-PF,23.0,TOT,32.0,256.0,5.6,0.34299999999999997,0.0,0.9390000000000001,9.4,14.0,11.7,7.9,3.0,0.9,17.7,10.7,,-0.2,0.4,0.2,0.039,,-6.7,2.2,-4.5,-0.1,2004
15,Gilbert Arenas,PG,22.0,WAS,55.0,2066.0,16.0,0.512,0.364,0.34700000000000003,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,,1.1,1.5,2.6,0.061,,1.1,-1.0,0.1,1.1,2004
16,Brandon Armstrong,SG,23.0,NJN,56.0,434.0,5.5,0.42700000000000005,0.297,0.023,3.3,8.4,5.8,5.7,1.5,0.4,12.0,21.7,,-0.8,0.5,-0.3,-0.03,,-5.5,-2.0,-7.5,-0.6,2004
17,Darrell Armstrong,PG,35.0,NOH,79.0,2247.0,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,,2.8,2.5,5.3,0.114,,1.3,1.1,2.4,2.5,2004
