,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Steven Adams,C,22.0,OKC,18.0,18.0,30.7,3.8,6.2,0.613,0.0,0.1,0.0,3.8,6.1,0.618,0.613,2.6,4.1,0.63,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,2016
1,Cole Aldrich,C,27.0,LAC,6.0,0.0,12.8,1.7,2.5,0.667,0.0,0.0,,1.7,2.5,0.667,0.667,0.5,1.0,0.5,1.3,3.7,5.0,0.5,1.0,0.5,0.3,1.8,3.8,2016
2,LaMarcus Aldridge,PF,30.0,SAS,10.0,10.0,33.7,8.8,16.9,0.521,0.2,0.2,1.0,8.6,16.7,0.515,0.527,4.1,4.6,0.8909999999999999,2.2,6.1,8.3,1.0,0.4,1.4,1.1,1.8,21.9,2016
3,Lavoy Allen,PF,26.0,IND,6.0,3.0,8.5,0.5,1.7,0.3,0.0,0.0,,0.5,1.7,0.3,0.3,0.0,0.0,,0.7,1.7,2.3,0.3,0.2,0.2,0.2,0.3,1.0,2016
4,Tony Allen,SG,34.0,MEM,4.0,2.0,23.5,2.5,8.3,0.303,0.3,1.8,0.14300000000000002,2.3,6.5,0.34600000000000003,0.318,2.3,3.3,0.6920000000000001,1.5,1.3,2.8,0.8,1.3,0.5,1.5,2.8,7.5,2016
5,Al-Farouq Aminu,SF,25.0,POR,11.0,11.0,33.8,5.1,11.6,0.43799999999999994,2.5,6.4,0.4,2.5,5.3,0.483,0.547,1.9,2.6,0.7240000000000001,2.1,6.5,8.6,1.8,0.7,0.9,1.9,2.8,14.6,2016
6,Chris Andersen,C,37.0,MEM,4.0,2.0,19.8,1.3,3.0,0.41700000000000004,0.0,0.0,,1.3,3.0,0.41700000000000004,0.41700000000000004,1.3,2.0,0.625,3.3,4.5,7.8,0.8,0.5,0.8,1.3,1.0,3.8,2016
7,Justin Anderson,SF,22.0,DAL,5.0,1.0,19.0,3.4,7.4,0.45899999999999996,0.8,2.6,0.308,2.6,4.8,0.542,0.514,1.8,2.8,0.643,1.8,2.2,4.0,1.4,0.8,0.6,1.0,2.4,9.4,2016
8,Kyle Anderson,SF,22.0,SAS,10.0,0.0,12.9,0.8,2.5,0.32,0.1,0.3,0.33299999999999996,0.7,2.2,0.318,0.34,0.6,0.7,0.857,0.2,2.2,2.4,0.7,0.6,0.3,0.4,1.1,2.3,2016
9,Trevor Ariza,SF,30.0,HOU,5.0,5.0,36.2,2.6,10.2,0.255,0.8,5.6,0.14300000000000002,1.8,4.6,0.391,0.294,0.6,0.8,0.75,1.4,2.8,4.2,0.8,2.6,0.2,2.4,3.2,6.6,2016
10,Jeff Ayres,C,28.0,LAC,2.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2016
11,Leandro Barbosa,SG,33.0,GSW,23.0,0.0,11.0,2.2,3.8,0.58,0.5,1.2,0.39299999999999996,1.7,2.6,0.667,0.642,0.7,0.9,0.762,0.5,0.7,1.2,0.7,0.5,0.0,0.5,1.0,5.6,2016
