,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Alaa Abdelnaby,PF,22.0,POR,5.0,0.0,2.6,0.4,1.2,0.33299999999999996,0.0,0.0,,0.4,1.2,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,1991
1,Mark Aguirre,SF,31.0,DET,15.0,2.0,26.5,6.0,11.9,0.506,0.8,2.2,0.364,5.2,9.7,0.5379999999999999,0.539,2.8,3.4,0.8240000000000001,1.1,2.9,4.1,1.9,0.8,0.1,1.3,2.7,15.6,1991
2,Danny Ainge,SG,31.0,POR,16.0,0.0,17.3,2.9,6.6,0.44799999999999995,0.7,2.3,0.306,2.3,4.3,0.522,0.5,1.4,1.8,0.821,0.1,1.7,1.8,1.9,0.8,0.3,1.5,2.1,8.0,1991
3,Ron Anderson,SF,32.0,PHI,8.0,0.0,27.9,4.4,11.0,0.39799999999999996,0.1,0.6,0.2,4.3,10.4,0.41,0.40299999999999997,2.1,2.4,0.895,1.1,1.5,2.6,2.4,0.8,0.0,1.5,3.0,11.0,1991
4,Willie Anderson,SG,24.0,SAS,4.0,4.0,39.8,8.3,17.0,0.485,0.5,2.5,0.2,7.8,14.5,0.534,0.5,2.0,3.3,0.615,0.5,4.3,4.8,4.8,1.5,0.5,3.3,4.0,19.0,1991
5,B.J. Armstrong,PG,23.0,CHI,17.0,0.0,16.1,2.1,4.1,0.5,0.2,0.3,0.6,1.9,3.8,0.49200000000000005,0.521,1.2,1.5,0.8,0.3,1.3,1.6,2.5,1.1,0.1,0.8,0.8,5.5,1991
6,Vincent Askew,SG,24.0,GSW,6.0,0.0,6.8,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,0.5,1.0,0.5,0.8,1.0,1.8,0.3,0.3,0.0,0.0,1.0,2.5,1991
7,Thurl Bailey,PF,29.0,UTA,9.0,0.0,25.3,2.6,7.1,0.359,0.0,0.0,,2.6,7.1,0.359,0.359,2.4,2.8,0.88,1.2,2.3,3.6,1.0,0.3,0.7,1.3,3.0,7.6,1991
8,Charles Barkley,SF,27.0,PHI,8.0,8.0,40.8,9.3,15.6,0.5920000000000001,0.3,2.5,0.1,9.0,13.1,0.6859999999999999,0.6,6.1,9.4,0.653,3.9,6.6,10.5,6.0,1.9,0.4,3.1,2.9,24.9,1991
9,Dana Barros,PG,23.0,SEA,3.0,0.0,8.3,3.0,4.3,0.6920000000000001,0.7,1.7,0.4,2.3,2.7,0.875,0.769,1.0,1.3,0.75,0.3,1.0,1.3,1.7,1.0,0.0,1.0,0.3,7.7,1991
10,John Battle,SG,28.0,ATL,5.0,0.0,21.4,3.2,8.8,0.364,0.4,1.0,0.4,2.8,7.8,0.359,0.386,4.8,5.0,0.96,0.8,1.2,2.0,2.2,0.2,0.0,1.8,2.2,11.6,1991
11,William Bedford,C,27.0,DET,8.0,3.0,8.1,0.6,3.0,0.20800000000000002,0.0,0.3,0.0,0.6,2.8,0.22699999999999998,0.20800000000000002,1.1,1.8,0.643,1.1,1.6,2.8,0.5,0.3,0.5,0.5,1.8,2.4,1991
12,Benoit Benjamin,C,26.0,SEA,5.0,5.0,32.6,4.0,8.2,0.488,0.0,0.0,,4.0,8.2,0.488,0.488,5.8,6.4,0.9059999999999999,1.4,5.2,6.6,0.2,0.6,2.6,2.2,3.4,13.8,1991
13,Larry Bird,SF,34.0,BOS,10.0,10.0,39.6,6.2,15.2,0.408,0.3,2.1,0.14300000000000002,5.9,13.1,0.45,0.418,4.4,5.1,0.863,0.8,6.4,7.2,6.5,1.3,0.3,1.9,2.8,17.1,1991
14,Manute Bol,C,28.0,PHI,8.0,0.0,13.6,1.1,2.3,0.5,0.0,0.0,,1.1,2.3,0.5,0.5,0.8,1.1,0.667,0.5,1.9,2.4,0.1,0.1,1.5,0.6,1.8,3.0,1991
15,Frank Brickowski,PF,31.0,MIL,3.0,3.0,36.7,8.0,15.0,0.5329999999999999,0.0,0.7,0.0,8.0,14.3,0.5579999999999999,0.5329999999999999,2.3,4.7,0.5,1.7,7.0,8.7,1.0,0.3,0.7,2.0,5.3,18.3,1991
16,Dee Brown,PG,22.0,BOS,11.0,0.0,25.8,4.8,9.8,0.491,0.0,0.5,0.0,4.8,9.4,0.515,0.491,2.5,3.1,0.8240000000000001,0.8,3.3,4.1,3.7,1.0,0.5,2.0,2.9,12.2,1991
17,Mike Brown,C,27.0,UTA,9.0,0.0,24.8,3.0,6.2,0.48200000000000004,0.0,0.0,,3.0,6.2,0.48200000000000004,0.48200000000000004,3.6,4.2,0.8420000000000001,2.2,5.1,7.3,0.6,0.3,0.1,1.3,4.0,9.6,1991
18,Tony Brown,SG,30.0,UTA,4.0,0.0,7.3,1.0,2.0,0.5,0.3,0.5,0.5,0.8,1.5,0.5,0.563,0.0,0.0,,0.5,0.3,0.8,0.3,0.0,0.0,0.3,0.5,2.3,1991
19,Mark Bryant,PF,25.0,POR,14.0,0.0,9.8,0.7,1.6,0.455,0.0,0.0,,0.7,1.6,0.455,0.455,1.0,1.1,0.875,1.0,1.3,2.3,0.1,0.1,0.1,0.3,1.8,2.4,1991
21,Michael Cage,C,29.0,SEA,5.0,0.0,16.0,1.2,2.8,0.429,0.0,0.0,,1.2,2.8,0.429,0.429,2.6,3.4,0.765,1.8,2.4,4.2,0.4,0.6,0.4,0.6,2.4,5.0,1991
22,Elden Campbell,PF,22.0,LAL,14.0,0.0,9.9,1.8,2.7,0.6579999999999999,0.0,0.0,,1.8,2.7,0.6579999999999999,0.6579999999999999,0.5,1.1,0.467,0.6,1.5,2.1,0.2,0.4,0.6,0.4,1.6,4.1,1991
