,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Tariq Abdul-Wahad,SG,24.0,SAC,5.0,5.0,19.8,3.0,6.6,0.455,0.0,0.2,0.0,3.0,6.4,0.469,0.455,2.6,3.2,0.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6,1999
1,Ray Allen,SG,23.0,MIL,3.0,3.0,40.0,8.3,15.7,0.532,3.0,6.3,0.474,5.3,9.3,0.5710000000000001,0.628,2.7,4.3,0.615,2.7,4.7,7.3,4.3,1.0,0.3,3.7,3.0,22.3,1999
2,Nick Anderson,SF,31.0,ORL,4.0,4.0,38.0,7.3,19.8,0.36700000000000005,2.8,10.5,0.262,4.5,9.3,0.486,0.43700000000000006,3.5,4.8,0.737,1.8,5.0,6.8,2.3,2.3,0.0,2.5,3.0,20.8,1999
3,Shandon Anderson,SG,25.0,UTA,11.0,0.0,27.0,3.4,7.0,0.48100000000000004,0.5,1.3,0.429,2.8,5.7,0.49200000000000005,0.519,2.2,3.1,0.706,0.7,3.0,3.7,1.2,0.5,0.3,1.3,3.1,9.5,1999
4,Greg Anthony,PG,31.0,POR,13.0,0.0,17.3,1.4,4.2,0.327,0.6,2.4,0.258,0.8,1.8,0.41700000000000004,0.4,1.8,2.6,0.6759999999999999,0.3,0.8,1.1,2.5,1.0,0.1,0.7,1.9,5.2,1999
5,B.J. Armstrong,PG,31.0,ORL,2.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1999
6,Darrell Armstrong,PG,30.0,ORL,4.0,4.0,40.8,4.3,11.5,0.37,2.3,6.0,0.375,2.0,5.5,0.364,0.467,4.0,4.0,1.0,1.5,3.5,5.0,6.3,2.3,0.0,6.3,4.0,14.8,1999
7,Keith Askins,SF,31.0,MIA,4.0,0.0,6.8,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.3,0.0,1.3,0.0,1999
8,Stacey Augmon,SF,30.0,POR,13.0,0.0,13.5,0.8,2.2,0.35700000000000004,0.0,0.1,0.0,0.8,2.1,0.37,0.35700000000000004,1.2,1.4,0.833,0.8,1.8,2.5,0.4,0.6,0.2,0.2,1.2,2.7,1999
9,Isaac Austin,C,29.0,ORL,4.0,4.0,28.0,2.3,5.8,0.391,0.0,0.5,0.0,2.3,5.3,0.429,0.391,2.0,3.0,0.667,1.8,2.3,4.0,2.0,1.0,0.8,2.0,3.5,6.5,1999
10,Thurl Bailey,PF,37.0,UTA,11.0,0.0,10.5,1.5,3.0,0.515,0.0,0.0,,1.5,3.0,0.515,0.515,0.3,0.4,0.75,0.5,0.9,1.4,0.2,0.3,0.5,0.7,1.7,3.4,1999
11,Charles Barkley,PF,35.0,HOU,4.0,4.0,39.3,9.0,17.0,0.529,0.5,1.8,0.28600000000000003,8.5,15.3,0.557,0.544,5.0,7.5,0.667,3.3,10.5,13.8,3.8,1.5,0.5,2.0,3.0,23.5,1999
12,Jon Barry,SG,29.0,SAC,5.0,0.0,22.4,2.4,6.8,0.353,1.0,3.8,0.263,1.4,3.0,0.467,0.426,2.2,2.4,0.917,0.6,1.4,2.0,1.8,1.2,0.2,1.8,1.8,8.0,1999
13,Travis Best,PG,26.0,IND,11.0,0.0,13.6,1.5,4.2,0.348,0.2,0.9,0.2,1.3,3.3,0.389,0.37,1.1,1.2,0.9229999999999999,0.6,0.9,1.5,1.9,0.4,0.1,1.3,3.1,4.2,1999
14,Mookie Blaylock,PG,31.0,ATL,9.0,9.0,39.8,4.9,15.0,0.326,2.0,5.7,0.353,2.9,9.3,0.31,0.39299999999999996,0.8,1.7,0.467,0.7,3.3,4.0,4.0,2.0,0.2,3.3,1.2,12.6,1999
15,Terrell Brandon,PG,28.0,MIN,4.0,4.0,40.3,7.8,17.3,0.449,0.8,1.3,0.6,7.0,16.0,0.43799999999999994,0.47100000000000003,3.0,3.3,0.9229999999999999,0.5,7.0,7.5,7.0,2.3,0.5,3.5,2.8,19.3,1999
16,Gerald Brown,SG,23.0,PHO,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1999
