,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Shareef Abdur-Rahim,C,30.0,SAC,80.0,45.0,25.2,3.9,8.2,0.474,0.0,0.3,0.15,3.8,7.9,0.484,0.47600000000000003,2.1,2.9,0.726,1.5,3.5,5.0,1.4,0.7,0.5,1.5,3.0,9.9,2007
1,Hassan Adams,SG,22.0,NJN,61.0,8.0,8.1,1.2,2.2,0.556,0.0,0.0,0.0,1.2,2.2,0.56,0.556,0.4,0.6,0.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9,2007
2,Maurice Ager,SG,22.0,DAL,32.0,1.0,6.7,0.7,2.2,0.314,0.2,0.5,0.33299999999999996,0.5,1.7,0.309,0.35,0.6,1.0,0.606,0.0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2,2007
3,LaMarcus Aldridge,C,21.0,POR,63.0,22.0,22.1,3.8,7.6,0.503,0.0,0.0,0.0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0,2007
4,Malik Allen,PF,28.0,CHI,60.0,1.0,10.6,1.8,4.3,0.415,0.0,0.0,0.0,1.8,4.3,0.41600000000000004,0.415,0.5,0.6,0.8240000000000001,0.7,1.3,2.0,0.3,0.3,0.3,0.4,1.4,4.0,2007
5,Ray Allen,SG,31.0,SEA,55.0,55.0,40.3,9.2,21.0,0.43799999999999994,3.0,8.1,0.37200000000000005,6.2,12.9,0.479,0.51,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,2007
6,Tony Allen,SG,25.0,BOS,33.0,18.0,24.4,4.0,7.8,0.514,0.2,1.0,0.242,3.8,6.8,0.5529999999999999,0.529,3.2,4.1,0.784,1.1,2.7,3.8,1.7,1.5,0.4,2.3,2.6,11.5,2007
7,Rafer Alston,PG,30.0,HOU,82.0,82.0,37.1,4.7,12.4,0.375,2.3,6.5,0.363,2.3,6.0,0.389,0.47,1.6,2.2,0.7340000000000001,0.4,3.1,3.4,5.4,1.6,0.1,2.1,2.4,13.3,2007
8,Lou Amundson,PF,24.0,TOT,11.0,0.0,8.1,0.5,1.4,0.4,0.0,0.0,,0.5,1.4,0.4,0.4,0.4,0.9,0.4,1.2,1.4,2.5,0.1,0.1,0.7,0.5,1.4,1.5,2007
11,Alan Anderson,SG,24.0,CHA,17.0,0.0,15.1,2.2,4.8,0.457,0.3,1.2,0.25,1.9,3.6,0.525,0.488,1.1,1.4,0.826,0.6,1.2,1.9,1.2,0.4,0.0,1.3,1.9,5.8,2007
12,Derek Anderson,SF,32.0,CHA,50.0,32.0,23.8,2.5,5.9,0.429,1.1,3.0,0.355,1.4,2.8,0.507,0.52,1.9,2.1,0.877,0.6,1.7,2.3,2.7,1.0,0.1,1.1,2.3,8.0,2007
13,Carmelo Anthony,SF,22.0,DEN,65.0,65.0,38.2,10.6,22.4,0.47600000000000003,0.6,2.3,0.268,10.0,20.1,0.499,0.489,7.1,8.7,0.8079999999999999,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,2007
14,Rafael Araújo,C,26.0,UTA,28.0,0.0,8.9,1.0,2.3,0.415,0.0,0.0,,1.0,2.3,0.415,0.415,0.6,1.0,0.621,0.8,1.6,2.4,0.4,0.2,0.1,0.6,1.4,2.6,2007
15,Gilbert Arenas,PG,25.0,WAS,74.0,73.0,39.8,8.7,20.9,0.418,2.8,7.9,0.35100000000000003,6.0,13.0,0.45899999999999996,0.484,8.2,9.7,0.8440000000000001,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,2007
16,Trevor Ariza,SG,21.0,ORL,57.0,7.0,22.4,3.5,6.5,0.539,0.0,0.1,0.0,3.5,6.4,0.5489999999999999,0.539,1.9,3.0,0.62,1.7,2.6,4.4,1.1,1.0,0.3,1.5,2.4,8.9,2007
17,Darrell Armstrong,PG,38.0,IND,81.0,4.0,15.7,1.9,4.7,0.414,0.9,2.6,0.336,1.0,2.0,0.515,0.509,0.9,1.1,0.785,0.4,1.2,1.7,2.4,0.9,0.1,0.9,1.3,5.6,2007
18,Hilton Armstrong,C,22.0,NOK,56.0,5.0,11.3,1.2,2.2,0.544,0.0,0.0,,1.2,2.2,0.544,0.544,0.7,1.2,0.597,1.0,1.6,2.7,0.2,0.2,0.5,0.6,1.4,3.1,2007
19,Carlos Arroyo,PG,27.0,ORL,72.0,5.0,18.1,2.8,6.6,0.425,0.2,0.7,0.275,2.6,5.9,0.44299999999999995,0.439,1.8,2.3,0.795,0.4,1.4,1.9,2.8,0.5,0.0,1.3,1.8,7.7,2007
20,Chucky Atkins,PG,32.0,MEM,75.0,23.0,27.5,4.1,9.5,0.434,1.5,4.1,0.379,2.6,5.5,0.474,0.515,3.4,4.1,0.81,0.2,1.6,1.9,4.6,0.7,0.1,1.7,1.8,13.2,2007
21,James Augustine,PF,22.0,ORL,2.0,0.0,3.5,0.5,1.5,0.33299999999999996,0.0,0.0,,0.5,1.5,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.5,1.0,1.5,1.0,0.0,0.0,0.0,1.0,1.0,2007
23,Kelenna Azubuike,SG,23.0,GSW,41.0,9.0,16.3,2.4,5.4,0.445,0.8,1.9,0.43,1.6,3.4,0.45399999999999996,0.523,1.5,1.9,0.782,0.6,1.7,2.3,0.7,0.5,0.2,1.0,1.2,7.1,2007
24,Renaldo Balkman,SF,22.0,NYK,68.0,1.0,15.6,2.0,4.0,0.505,0.1,0.4,0.185,2.0,3.6,0.54,0.515,0.8,1.3,0.5670000000000001,1.4,2.9,4.3,0.6,0.8,0.6,0.7,2.1,4.9,2007
25,Marcus Banks,PG,25.0,PHO,45.0,1.0,11.2,1.9,4.4,0.429,0.1,0.6,0.172,1.8,3.7,0.473,0.441,1.1,1.3,0.8,0.2,0.6,0.8,1.3,0.5,0.1,0.9,1.6,4.9,2007
26,Leandro Barbosa,SG,24.0,PHO,80.0,18.0,32.7,6.6,13.9,0.47600000000000003,2.4,5.5,0.434,4.2,8.4,0.504,0.562,2.5,2.9,0.845,0.3,2.4,2.7,4.0,1.2,0.2,1.8,2.6,18.1,2007
27,J.J. Barea,PG,22.0,DAL,33.0,1.0,5.8,0.8,2.4,0.359,0.2,0.6,0.28600000000000003,0.7,1.7,0.386,0.397,0.5,0.7,0.667,0.2,0.5,0.8,0.7,0.0,0.0,0.4,0.6,2.4,2007
28,Andrea Bargnani,PF,21.0,TOR,65.0,2.0,25.1,4.1,9.6,0.42700000000000005,1.5,4.1,0.373,2.6,5.5,0.46799999999999997,0.507,1.8,2.2,0.8240000000000001,0.8,3.1,3.9,0.8,0.5,0.8,1.6,2.8,11.6,2007
29,Matt Barnes,PF,26.0,GSW,76.0,23.0,23.9,3.6,8.3,0.43799999999999994,1.4,3.8,0.366,2.2,4.4,0.5,0.522,1.2,1.6,0.732,1.2,3.4,4.6,2.1,1.0,0.5,1.4,2.5,9.8,2007
30,Andre Barrett,PG,24.0,CHI,6.0,0.0,4.8,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.0,0.0,,0.2,0.7,0.8,1.2,0.0,0.0,0.7,0.7,1.3,2007
31,Earl Barron,C,25.0,MIA,28.0,0.0,7.3,0.9,3.0,0.289,0.0,0.0,0.0,0.9,2.9,0.293,0.289,0.6,0.6,0.9440000000000001,0.7,0.8,1.5,0.2,0.2,0.1,0.4,0.8,2.3,2007
