,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Mahmoud Abdul-Rauf,PG,27.0,SAC,75.0,51.0,28.4,5.5,12.3,0.445,1.3,3.3,0.382,4.2,9.0,0.46799999999999997,0.496,1.5,1.8,0.846,0.2,1.4,1.6,2.5,0.7,0.1,1.6,2.3,13.7,1997
1,Shareef Abdur-Rahim,PF,20.0,VAN,80.0,71.0,35.0,6.9,15.2,0.45299999999999996,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,2.5,18.7,1997
2,Rafael Addison,SF,32.0,CHH,41.0,3.0,8.7,1.2,3.0,0.402,0.2,0.5,0.4,1.0,2.5,0.402,0.434,0.5,0.7,0.7859999999999999,0.5,0.6,1.1,0.8,0.2,0.1,0.4,1.3,3.1,1997
3,Cory Alexander,PG,23.0,SAS,80.0,6.0,18.2,2.4,6.1,0.396,1.2,3.2,0.373,1.3,3.0,0.42,0.49200000000000005,1.2,1.6,0.736,0.4,1.2,1.5,3.2,1.0,0.2,1.8,1.9,7.2,1997
4,Jerome Allen,SG,24.0,TOT,76.0,1.0,12.4,1.0,2.9,0.353,0.4,1.2,0.32299999999999995,0.6,1.7,0.375,0.42100000000000004,0.6,0.9,0.583,0.3,1.0,1.3,2.0,0.4,0.1,0.9,1.1,3.0,1997
7,Ray Allen,SG,21.0,MIL,82.0,81.0,30.9,4.8,11.1,0.43,1.4,3.6,0.39299999999999996,3.3,7.4,0.44799999999999995,0.494,2.5,3.0,0.823,1.2,2.8,4.0,2.6,0.9,0.1,1.8,2.7,13.4,1997
8,Derrick Alston,C,24.0,ATL,2.0,0.0,5.5,0.0,2.5,0.0,0.0,0.0,,0.0,2.5,0.0,0.0,0.0,1.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1997
9,Ashraf Amaya,PF,25.0,WSB,31.0,0.0,4.6,0.4,1.3,0.3,0.0,0.0,1.0,0.4,1.3,0.282,0.313,0.5,0.9,0.536,0.6,1.1,1.7,0.1,0.2,0.1,0.3,0.9,1.3,1997
10,Greg Anderson,C,32.0,SAS,82.0,48.0,20.2,1.6,3.2,0.496,0.0,0.0,0.0,1.6,3.2,0.498,0.496,0.8,1.1,0.667,1.9,3.5,5.5,0.4,0.8,0.8,0.9,2.7,3.9,1997
11,Kenny Anderson,PG,26.0,POR,82.0,81.0,37.6,5.9,13.9,0.42700000000000005,1.6,4.5,0.361,4.3,9.4,0.45799999999999996,0.485,4.1,5.3,0.768,1.1,3.3,4.4,7.1,2.0,0.2,2.4,2.7,17.5,1997
