,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Alex Acker,SG,26.0,TOT,25.0,0.0,199.0,5.4,13.7,0.395,1.3,3.6,0.35,4.2,10.1,0.41100000000000003,0.9,1.8,0.5,1.4,2.9,4.3,2.2,0.9,0.7,1.3,1.6,13.0,2009
3,Hassan Adams,SG,24.0,TOR,12.0,0.0,52.0,2.8,9.0,0.308,0.0,0.0,,2.8,9.0,0.308,2.1,4.2,0.5,0.7,4.2,4.8,0.7,0.7,0.7,2.8,2.8,7.6,2009
4,Arron Afflalo,SG,23.0,DET,74.0,8.0,1234.0,3.8,8.8,0.43700000000000006,1.3,3.1,0.402,2.6,5.6,0.456,1.7,2.1,0.8170000000000001,0.9,3.0,3.9,1.3,0.8,0.4,1.3,4.2,10.6,2009
5,Maurice Ager,SG,24.0,NJN,20.0,0.0,97.0,5.6,16.0,0.349,0.0,2.2,0.0,5.6,13.7,0.405,1.5,3.0,0.5,1.1,2.6,3.7,1.1,0.4,0.7,1.5,6.3,12.6,2009
6,Blake Ahearn,PG,24.0,SAS,3.0,0.0,19.0,3.8,11.4,0.33299999999999996,3.8,7.6,0.5,0.0,3.8,0.0,3.8,3.8,1.0,0.0,1.9,1.9,3.8,1.9,0.0,1.9,5.7,15.2,2009
7,Alexis Ajinça,PF,20.0,CHA,31.0,4.0,182.0,4.9,13.6,0.36200000000000004,0.0,0.4,0.0,4.9,13.3,0.373,4.0,5.5,0.7140000000000001,1.8,4.2,5.9,0.6,1.4,1.2,2.4,6.7,13.8,2009
8,LaMarcus Aldridge,PF,23.0,POR,81.0,81.0,3004.0,7.2,14.9,0.484,0.1,0.3,0.25,7.1,14.6,0.489,3.1,4.0,0.7809999999999999,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6,2009
9,Joe Alexander,SF,22.0,MIL,59.0,0.0,716.0,5.1,12.3,0.41600000000000004,0.8,2.3,0.348,4.3,10.0,0.43200000000000005,2.9,4.2,0.6990000000000001,2.2,3.6,5.8,2.1,0.8,1.5,2.6,5.4,14.0,2009
10,Malik Allen,PF,30.0,MIL,49.0,3.0,579.0,4.5,10.6,0.429,0.0,0.1,0.0,4.5,10.5,0.43200000000000005,0.6,1.3,0.47600000000000003,2.2,4.2,6.4,2.2,0.4,0.7,1.2,5.5,9.7,2009
11,Ray Allen,SG,33.0,BOS,79.0,79.0,2876.0,6.2,13.0,0.48,2.5,6.1,0.409,3.8,6.9,0.542,3.0,3.1,0.9520000000000001,0.8,2.7,3.5,2.7,0.9,0.2,1.7,2.0,17.9,2009
12,Tony Allen,SG,27.0,BOS,46.0,2.0,887.0,5.6,11.5,0.48200000000000004,0.2,1.1,0.222,5.3,10.4,0.51,3.2,4.4,0.725,0.9,3.3,4.2,2.7,2.2,0.9,3.1,4.0,14.6,2009
13,Morris Almond,SG,23.0,UTA,25.0,1.0,255.0,4.7,11.4,0.40700000000000003,0.7,2.4,0.294,4.0,9.0,0.43799999999999994,3.0,3.7,0.8079999999999999,1.3,3.8,5.1,1.0,0.6,0.6,2.3,4.4,13.0,2009
14,Rafer Alston,PG,32.0,TOT,77.0,76.0,2447.0,4.6,12.1,0.385,1.6,4.9,0.33799999999999997,3.0,7.2,0.41700000000000004,2.3,3.1,0.75,0.5,2.9,3.3,6.0,1.6,0.1,2.1,2.0,13.2,2009
17,Lou Amundson,PF,26.0,PHO,76.0,0.0,1044.0,4.6,8.6,0.536,0.0,0.0,0.0,4.6,8.6,0.5379999999999999,1.8,4.1,0.442,4.4,4.9,9.3,1.0,1.1,2.2,1.9,5.3,11.1,2009
18,Chris Andersen,C,30.0,DEN,71.0,1.0,1460.0,3.9,7.2,0.5479999999999999,0.0,0.2,0.2,3.9,7.0,0.56,3.2,4.5,0.718,4.0,6.9,10.9,0.8,1.0,4.3,1.7,4.3,11.1,2009
19,Ryan Anderson,PF,20.0,NJN,66.0,30.0,1312.0,4.4,11.2,0.39299999999999996,1.9,5.2,0.365,2.5,6.0,0.41700000000000004,2.7,3.2,0.845,2.9,5.7,8.5,1.4,1.2,0.5,1.7,4.3,13.4,2009
